treat,rep,control
glyphosate,1,99
glyphosate,2,95
glyphosate,3,85
Mesotrione/atrazine + diflufenzopyr/dicamba ,1,85
Mesotrione/atrazine + diflufenzopyr/dicamba ,2,95
Mesotrione/atrazine + diflufenzopyr/dicamba ,3,55
Mesotrione/atrazine + glufosinate ,1,80
Mesotrione/atrazine + glufosinate ,2,85
Mesotrione/atrazine + glufosinate ,3,95
Mesotrione/atrazine + metribuzin ,1,30
Mesotrione/atrazine + metribuzin ,2,35
Mesotrione/atrazine + metribuzin ,3,30
Mesotrione + fluthiacet-methyl ,1,85
Mesotrione + fluthiacet-methyl ,2,90
Mesotrione + fluthiacet-methyl ,3,75
